,Month,Date,Material,Pit,Reduced Level,Site Mixed Emulsion(Kg),Emulboost 125gm,Emulboost 250gm,DTH 6M,DTH 8M,DTH 10m,DTH 12m,TLD 5m (17ms),TLD 5m (25ms),TLD 5m (42ms),TLD 5m (65ms),TLD 5m (100ms),Electronic Detonator,Number Of Hole,Spacing,Burden,Meterage Blasted,Total Blasted Volume,Bulk Density,Total Blasted Tonnage,Powder Factor,Yield,Total Booster Explosive(Kg),Booster Ratio
116,November'22,2022-11-15,HO,Pit2,690,1800,72.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,23.0,35.0,20.0,2.0,72,3.5,3.5,324,3969.0,4.0,16193.52,9.0,49.98,9.0,0.005
117,November'22,2022-11-17,HO,Pit1,700,11990,89.0,89.0,0.0,89.0,0.0,89.0,28.0,32.0,20.0,0.0,20.0,2.0,89,4.0,3.5,934,13076.0,4.0,53350.08,4.45,57.12,33.38,0.0027839866555462887
118,November'22,2022-11-19,HO,Pit1,700,10270,80.0,80.0,0.0,80.0,0.0,80.0,50.0,15.0,0.0,26.0,0.0,2.0,80,4.0,3.5,840,11760.0,4.0,47980.8,4.67,57.12,30.0,0.0029211295034079843
119,November'22,2022-11-21,SG,Pit2,690,18990,158.0,158.0,0.0,158.0,0.0,158.0,80.0,30.0,30.0,40.0,2.0,2.0,158,4.0,3.5,1659,23226.0,3.5,82916.82,4.37,49.98,59.25,0.0031200631911532384
120,November'22,2022-11-24,FO,Pit3,650,6350,47.0,47.0,0.0,47.0,0.0,47.0,0.0,18.0,18.0,0.0,18.0,2.0,47,4.0,3.5,494,7904.0,3.5,28217.28,4.44,57.12,17.62,0.0027748031496062993
121,November'22,2022-11-24,HO,Pit1,690,8080,56.0,56.0,0.0,56.0,0.0,56.0,20.0,22.0,0.0,20.0,0.0,2.0,56,4.0,3.5,588,8232.0,4.0,33586.56,4.16,57.12,21.0,0.002599009900990099
122,November'22,2022-11-28,HO,Pit1,710,10700,83.0,83.0,0.0,0.0,0.0,0.0,40.0,31.0,15.0,0.0,0.0,2.0,83,4.0,3.5,788,11032.0,4.0,45010.56,4.21,57.12,31.12,0.002908411214953271
123,December'22,2022-01-12,FO,Pit1,700,10960,102.0,102.0,0.0,0.0,184.0,0.0,0.0,85.0,0.0,0.0,25.0,2.0,102,4.0,4.0,1071,17136.0,3.5,61175.52,5.58,57.12,38.25,0.003489963503649635
124,December'22,2022-01-12,SG,Pit3,670,14150,104.0,104.0,104.0,0.0,26.0,78.0,0.0,55.0,35.0,0.0,22.0,2.0,104,4.0,3.5,1092,15288.0,3.5,54578.16,3.86,49.98,39.0,0.002756183745583039
125,December'22,2022-02-12,HO,Pit1,690,8190,57.0,57.0,0.0,0.0,57.0,57.0,16.0,16.0,16.0,0.0,16.0,2.0,57,4.0,3.5,627,8778.0,4.0,35814.24,4.37,57.12,21.38,0.0026105006105006105
126,December'22,2022-06-12,HO,Pit1,690,23540,153.0,153.0,0.0,153.0,0.0,153.0,43.0,39.0,38.0,0.0,42.0,2.0,153,4.0,3.5,1683,23562.0,4.0,96132.96,4.08,57.12,57.38,0.002437553101104503
127,December'22,2022-06-12,HO,Pit1,700,5700,57.0,0.0,0.0,0.0,57.0,0.0,30.0,15.0,0.0,0.0,17.0,2.0,57,4.0,3.5,456,6384.0,4.0,26046.72,4.57,57.12,7.12,0.0012491228070175438
128,December'22,2022-08-12,SG,Pit3,680,20120,160.0,150.0,0.0,125.0,45.0,125.0,0.0,85.0,65.0,33.0,0.0,2.0,170,4.0,3.5,1643,23002.0,3.5,82117.14,4.08,49.98,57.5,0.0028578528827037774
